Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2000-01-03,0.8410477638244629,0.8452739051296528,0.7640337920670713,0.7879833974411941,535796800
2000-01-04,0.7701388001441956,0.8311857995176746,0.7602770708655592,0.8133414224201578,512377600
2000-01-05,0.781408429145813,0.830716276524219,0.773895363062027,0.7795301500852835,778321600
2000-01-06,0.713786780834198,0.8039495127008364,0.713786780834198,0.7973755595969272,767972800
2000-01-07,0.747597873210907,0.7588683489276759,0.7175439567966562,0.7250570220940228,460734400
2000-01-10,0.7344492673873901,0.7682597460684999,0.7119084132444259,0.76638146695242,505064000
2000-01-11,0.6968812942504883,0.7466587158564406,0.6799760832322101,0.7208308907547518,441548800
2000-01-12,0.6550873517990112,0.7175438928746473,0.6499212452314679,0.7137864827899717,976068800
2000-01-13,0.7269352674484253,0.7419622510788731,0.6950030714389166,0.7099122331569975,1032684800
2000-01-14,0.7546413540840149,0.7682595896593242,0.7466587070846046,0.7513543788396504,390376000
2000-01-18,0.7809388637542725,0.796436232791783,0.7546414532763983,0.7588683960555415,459177600
2000-01-19,0.8006624579429626,0.8170981416308477,0.7767128545319978,0.7936181205838215,597643200
2000-01-20,0.8527877330780029,0.9128955781939601,0.8527877330780029,0.8678146692778237,1831132800
2000-01-21,0.8363521099090576,0.8584226338164397,0.8278990747251003,0.8584226338164397,495924800
2000-01-24,0.7983146905899048,0.8471521118321852,0.7898616056714585,0.814750325028407,440876800
2000-01-25,0.843395471572876,0.8499703266133588,0.7691997557497006,0.7889224148543693,497145600
2000-01-26,0.8278989791870117,0.8579529523967211,0.8246120531471683,0.8264902822675537,367158400
2000-01-27,0.8264902234077454,0.8490311280556132,0.8039493689182119,0.8175676074754262,340144000
2000-01-28,0.7635641694068909,0.8330642673193402,0.7560511021558296,0.8128720746044017,423348800
2000-01-31,0.7795302867889404,0.7804694515630695,0.7100302376447819,0.7588685614414205,701680000
2000-02-01,0.7532327175140381,0.7889223259535911,0.7513544886641401,0.7814084073873864,318035200
2000-02-02,0.7424320578575134,0.7673207781902813,0.7288137667495023,0.7569903163156536,464195200
2000-02-03,0.7762434482574463,0.7832877867594003,0.7532329556829963,0.753702538123116,475193600
2000-02-04,0.8114632964134216,0.8264902319449925,0.7785910786745449,0.7809389401695792,425320000
2000-02-07,0.8570138216018677,0.8584225687354269,0.7959668083641347,0.8114633779416643,441067200
2000-02-08,0.8631189465522766,0.8725101912303496,0.8358823707792796,0.8565440921743329,408643200
2000-02-09,0.8462128043174744,0.8800241351213123,0.8448041577020347,0.8574832813576421,299364800
2000-02-10,0.8527877330780029,0.855605126870666,0.8264902686991258,0.8480920098791151,302982400
2000-02-11,0.8170981407165527,0.8574833776118751,0.8133415821259233,0.8537268190212456,212251200
2000-02-14,0.8701625466346741,0.8706321290218016,0.8161590172064371,0.8213242729898178,367539200
2000-02-15,0.8941118121147156,0.9011561471499844,0.8654665951475555,0.8659361773565827,485744000
2000-02-16,0.8574833273887634,0.8875381016370432,0.8424563916896421,0.8847199054048898,378246400
2000-02-17,0.8631189465522766,0.8678145688913131,0.8499702409630143,0.8654667577217948,289497600
2000-02-18,0.835882306098938,0.8668753372182669,0.8330640601586273,0.8612405507207764,233441600
2000-02-22,0.8551355004310608,0.8786155196483832,0.8016015100469094,0.8274293907426276,422296000
2000-02-23,0.873449444770813,0.8941120711199664,0.8340033239861085,0.850791620117707,473099200
2000-02-24,0.8655836582183838,0.8950510735925375,0.8396388120104282,0.8814327867874028,376432000
2000-02-25,0.8293077349662781,0.8790852241231643,0.827429505712586,0.862649539432335,249144000
2000-02-28,0.8509095311164856,0.8640582401960994,0.8142808482506262,0.8274295573302399,328328000
2000-02-29,0.861240804195404,0.8809634655911556,0.8457434815414333,0.8532573015105244,368961600
2000-03-01,0.9791088104248047,0.9922575190704145,0.890355628967053,0.8908252113734411,1077003200
2000-03-02,0.9166529774665833,0.96126440620906,0.9067912460890936,0.9542208712752036,311259200
2000-03-03,0.9617336392402649,0.9634949990218792,0.9016258071803823,0.9382536239125024,323366400
2000-03-06,0.9443589448928833,0.9701867725061223,0.9391928376602845,0.9467067559471328,210560000
2000-03-07,0.9232268929481506,0.9575078090985335,0.9100781858174206,0.9499938895618977,273011200
2000-03-08,0.9166529774665833,0.9312104322388699,0.8908251445200426,0.923226930029292,271230400
2000-03-09,0.918531060218811,0.9391927793159073,0.8884770943216044,0.9081997492453318,276718400
2000-03-10,0.9448287487030029,0.9612644331030341,0.9091390830637793,0.9143051915076862,248606400
2000-03-13,0.9114869236946106,0.9504634623419774,0.8978686343487448,0.9175920961129,303956800
2000-03-14,0.8584224581718445,0.9335581368679581,0.8565441289023584,0.9107824414671046,428579200
2000-03-15,0.873449444770813,0.9035042196044328,0.85748334408892,0.8687538219536071,443609600
2000-03-16,0.9133650064468384,0.9166527845697521,0.86030060460698,0.8814328100284231,378100800
2000-03-17,0.9391927719116211,0.9391927719116212,0.8988074953593194,0.9025649558229886,305043200
2000-03-20,0.9241659045219421,0.9485849853281056,0.9194701820938108,0.9279232649343768,204489600
2000-03-21,1.0138593912124634,1.027477582999253,0.9138357226950171,0.9208792587013069,524328000
2000-03-22,1.0833593606948853,1.0847689105072797,0.9885010020334201,0.997658411087895,567996800
2000-03-23,1.0617581605911255,1.129849498656806,1.0518964309179477,1.066923365147737,562564800
2000-03-24,1.0420342683792114,1.0814803681525533,1.018084678688335,1.0702098962911968,446913600
2000-03-27,1.0486094951629639,1.0875860305176328,1.0284164527571384,1.0340521426684461,279182400
2000-03-28,1.0453224182128906,1.066923302602995,1.0302945820141085,1.031233746539041,202966400
2000-03-29,1.0213727951049805,1.0476702036959447,1.0055236668369483,1.0472007217615662,239836800
2000-03-30,0.9448287487030029,1.0345217929685795,0.9424808367815761,1.0035279511722095,414400000
2000-03-31,1.0204339027404785,1.031233895066089,0.9467068686814468,0.9575077638570834,404633600
2000-04-03,1.0016496181488037,1.0481400797315041,0.9725348082076778,1.01808530249163,328563200
2000-04-04,0.956568717956543,0.999301818784352,0.8772068867167477,0.99648442477064,660329600
2000-04-05,0.9795790910720825,0.9983625859611603,0.9316799853365,0.9502286388890435,457665600
2000-04-06,0.9406024217605591,1.0105720892146617,0.9260441669232834,0.9814572849233524,259627200
2000-04-07,0.9899094104766846,0.9908484746911452,0.9429501807543105,0.9560988854565621,242435200
2000-04-10,0.9391927719116211,0.9974232771167862,0.9373145432630394,0.9894397771146454,212262400
2000-04-11,0.8973991870880127,0.9382539609588665,0.8870678723031892,0.9279235490242383,541822400
2000-04-12,0.820854663848877,0.8941121220868489,0.7879833460795606,0.8941121220868489,941136000
2000-04-13,0.8551355004310608,0.9016259565383596,0.8152197988066203,0.8377607035275851,529827200
2000-04-14,0.8405780792236328,0.8865980993290974,0.8189762894603527,0.8213241508886077,667620800
2000-04-17,0.9307408928871155,0.9312104752799674,0.8194460035889205,0.8227338327140059,409561600
2000-04-18,0.953281044960022,0.953281044960022,0.8969288922468655,0.927922811983132,390924800
2000-04-19,0.9100779294967651,0.9786388396374925,0.899746619072864,0.948115393435634,520150400
2000-04-20,0.8931729197502136,0.9373147643271073,0.879554630273827,0.9293320649754652,722120000
2000-04-24,0.9053826332092285,0.9053826332092285,0.8621799499617615,0.8640581792000344,443620800
2000-04-25,0.9640815854072571,0.9673693634898121,0.9171223555840792,0.9175919378506454,391641600
2000-04-26,0.9114869236946106,0.9617338399500549,0.901625995345919,0.9514025267204196,366912000
2000-04-27,0.9523414969444275,0.9542206284843199,0.8759149540733198,0.8804936067395468,326603200
2000-04-28,0.9321492314338684,0.9579771573480959,0.9114867101325168,0.9551597642395405,249580800
2000-05-01,0.9340277314186096,0.9401329035244018,0.9157138201679231,0.9382537716969696,226195200
2000-05-02,0.8856589794158936,0.948585119763923,0.8828415856863898,0.926044264544472,236432000
2000-05-03,0.8645278215408325,0.9110174844166885,0.8386999858356727,0.893642633878422,489798400
2000-05-04,0.831655740737915,0.865936665765151,0.8307165757901497,0.8649975008173858,399515200
2000-05-05,0.8499704003334045,0.8621799436174974,0.8318903750165003,0.8325946984360847,284076800
2000-05-08,0.8274292945861816,0.8541962365093079,0.8264901300406309,0.842221437128578,184900800
2000-05-09,0.792209267616272,0.8358823248775553,0.7879831776482122,0.8288379889058713,327140800
2000-05-10,0.7461892366409302,0.7889223288186151,0.7419622937841922,0.7818779925184681,535091200
2000-05-11,0.772486686706543,0.7832875815835546,0.7438414631457737,0.7616858419878648,499744000
2000-05-12,0.8086458444595337,0.8302467819284096,0.7871610736929554,0.7964363027180614,306913600
2000-05-15,0.7588685154914856,0.811932876925263,0.7522937104122598,0.811932876925263,678932800
2000-05-16,0.7940876483917236,0.8194458968356455,0.7720171784862305,0.7852828542769409,440451200
2000-05-17,0.7616859078407288,0.7790607058678715,0.7541719882172365,0.7785911235101565,398092800
2000-05-18,0.7569901347160339,0.7884527504257741,0.7560509701246976,0.7738953481517434,373777600
2000-05-19,0.70627361536026,0.7457197333256603,0.7015770900286709,0.7457197333256603,740667200
2000-05-22,0.6757493615150452,0.7043954417124203,0.6461649692458868,0.7043954417124203,755507200
2000-05-23,0.6447562575340271,0.7015771790240961,0.6433475605791869,0.6799762896386677,517585600
2000-05-24,0.6588440537452698,0.6743405723280571,0.6236240230320654,0.647573625860043,678462400
2000-05-25,0.6556739807128906,0.6961770345196538,0.6461648637960781,0.6649492093271053,406750400
2000-05-26,0.6489821672439575,0.6752795752161661,0.6405299878742278,0.6611917067500973,181148800
2000-05-30,0.6579048037528992,0.6621308935804164,0.6142326006355578,0.6583743358504054,713059200
